supplier_id,supplier_name,category,rating,lead_time_days,min_order_quantity,price_per_unit,location,payment_terms,contract_end_date,risk_level
SUP001,Global Electronics Inc,Electronics,4.2,15,100,25.50,USA,Net 30,2024-12-31,Low
SUP002,Tech Solutions Ltd,Electronics,3.8,20,50,28.75,China,Net 45,2024-10-15,Medium
SUP003,Precision Components,Electronics,4.5,12,75,22.00,Germany,Net 30,2024-11-30,Low
SUP004,Industrial Supplies Co,Industrial,3.9,25,200,15.25,USA,Net 60,2024-09-30,Medium
SUP005,Quality Manufacturing,Industrial,4.1,18,150,18.50,Canada,Net 30,2024-12-31,Low
SUP006,Reliable Parts Inc,Automotive,3.7,30,100,32.00,Japan,Net 45,2024-08-31,High
SUP007,Advanced Materials,Chemicals,4.3,10,50,45.75,USA,Net 30,2024-11-15,Low
SUP008,Global Logistics,Logistics,3.6,35,500,8.25,Netherlands,Net 60,2024-10-31,Medium
SUP009,Smart Systems,Electronics,4.0,14,80,30.25,South Korea,Net 30,2024-12-31,Low
SUP010,Prime Suppliers,General,3.5,22,120,20.00,India,Net 45,2024-09-15,High
